0; Manaus; 030607; 600130;
1; Rio-Branco; 095829; 674836;
2; Porto-Velho; 084543; 635414;
3; Palmas; 101246; 482137;
4; Boa-Vista; 024911; 604024;
5; Macapa; 000220; 510359;
6; Cuiaba; 153546; 460548;
7; Campo-Grande; 202634; 543847;
8; Brasilia; 154647; 475547;
9; Goiania; 164043; 491514;
10; Porto-Alegre; 300159; 511348;
11; Florianopolis; 273548; 483257;
12; Curitiba; 252540; 491623;
13; Sao-Paulo; 233251; 463810;
14; Rio-de-Janeiro; 225410; 431227;
15; Belo-Horizonte; 195515; 435616;
16; Vitoria; 201910; 402016;
17; Salvador; 125816;382039;
18; Recife; 080314; 345252;
19; Aracaju; 105440; 370418;
20; Maceio; 093957; 354407;
21; Campina-Grande; 071350; 355252;
22; Natal; 054742; 351234;
23; Fortaleza; 034302; 383225;
24; Teresina; 050521; 424807;
25; Sao-Luis; 023147; 441810;
26; Belem; 012721; 483016;
